ID,X,Y
0,15.922516700357033,45.755968701186013
1,17.542587350879273,44.502887516258113
2,16.179118619438473,45.756629408002631
3,14.992333768143974,43.25949079085494
4,18.488926921378052,42.591672539026661
5,17.219640967762697,45.908591049635753
6,14.264725751733833,44.206870540115212
7,13.791706250167071,44.496143218287543
8,14.175710380449535,42.879779004239978
9,14.903034011404639,42.67312471562537
10,13.637020250407121,43.668101631368771
11,13.552395670723365,44.565121853442655
12,19.205551074007197,45.69767969552889
13,17.59175566094849,42.342461979441929
14,14.459763717230732,44.94569961925864
15,19.294568182944211,42.78795936487203
16,17.884382711417462,42.998790857854168
17,17.093006163752385,44.073134286910054
18,15.410003113827072,44.569222857839542
19,17.806063881672486,42.798212881391777
20,15.659296641139786,44.317738142316387
21,14.162725116745548,45.118782091103839
22,18.886547405628292,45.791330208815012
23,14.435097861854766,44.568916120222603
24,14.812256745923905,46.165975819441336
25,17.66198809836764,43.459337152681393
26,18.025303526954254,46.196142697417137
27,17.539078630092309,45.167323823315726
28,18.821524347061171,43.00448209326936
29,13.473361446419426,42.814096804219929
30,17.806601926222246,44.049928676713691
31,16.04958526349386,45.382373402553327
32,14.898533450999407,43.820676360789143
33,14.946688771499744,45.209003098642924
34,16.281250547868741,43.925851341101485
35,17.324157708172248,45.4203410591875
36,18.643856576562779,43.425702147525293
37,16.620662012449774,44.55162046697852
38,16.321644710260017,42.698036806531299
39,15.491050203702107,43.567468736968785
40,14.282732788697103,46.481450971941101
41,16.908555726861795,43.824751526353545
42,17.786371705898304,44.987882999300474
43,13.517525587240355,46.0385289548259
44,14.536559067683619,44.452820804106636
45,16.25441155947237,43.146063750948279
46,18.179709672359063,46.100502464504594
47,17.731737116958559,42.91282196163165
48,16.878762027010133,44.551204462092763
49,17.013189617698977,42.897633105946184
50,19.145733194640034,44.446162751849947
51,14.109505775168632,44.638205458875518
52,18.874668279856706,42.575357319537659
53,15.591827713157397,44.44460543931924
54,15.346811740357126,43.450935574222299
55,17.428905516129642,46.070054335989667
56,18.761330847927415,44.16247245122775
57,18.726745914226576,42.836490043675774
58,17.060041040344892,44.88829016877478
59,19.489842311536528,43.915676912795576
60,13.877391198032777,45.269890963429269
61,15.751418610178707,44.182978261407392
62,18.667743794547871,45.544452847838684
63,14.966195334873984,43.53431462815265
64,16.246838974158841,46.483820090452646
65,16.45078874729397,45.825846155026944
66,14.335572868719382,43.691030207974862
67,14.957692054275121,46.097913318297635
68,14.939374190238924,46.22714213230109
69,15.150334944130279,44.994082527310567
70,15.319432797699406,43.391081167674706
71,16.365970065964419,43.355811038792581
72,17.660904923470405,46.054638927376118
73,15.798770283552678,43.337522285869483
74,15.013604414895479,43.062655577184579
75,17.64802539969978,45.551268185374312
76,15.031871195726458,42.822283185008089
77,17.070658515455943,44.334174215649313
78,19.420077700529923,44.201203071937194
79,16.25501225688523,46.493797408313789
80,15.706129510476007,44.211274183913801
81,15.783117558866268,43.494151529382982
82,16.087780952692409,44.397224952445335
83,18.698422966071448,43.244456406800211
84,19.308996692609998,46.334515218146024
85,13.445999974829242,43.092181636101685
